num_of,article,qte,jour,heure_debut,heure_fin,charge_h,cumul_jour_h,date_echeance
F426-09822,11033434,192,2026-03-23,07:00,08:55,1.92,1.92,2026-03-18
F426-10132,11035401,352,2026-03-23,09:10,12:41,3.52,5.69,2026-03-24
F426-10101,11033426,256,2026-03-23,12:56,15:30,2.56,8.5,2026-03-24
F426-10172,11026032,480,2026-03-24,07:00,11:48,4.8,4.8,2026-03-24
F426-10300,11033421,432,2026-03-24,12:03,16:22,4.32,9.37,2026-03-25
F426-10302,11033451,336,2026-03-25,07:00,10:22,3.36,3.36,2026-03-25
F426-09580,11026052,192,2026-03-25,10:37,13:49,3.2,6.81,2026-03-25
F426-10303,11033531,336,2026-03-25,14:04,17:50,3.775,10.835,2026-03-26
F426-10380,11033436,72,2026-03-25,18:05,18:48,0.72,11.805,2026-03-26
F426-10304,11033549,160,2026-03-26,07:00,08:36,1.6,1.6,2026-03-26
F426-10325,11033205,160,2026-03-26,08:51,10:51,2.0,3.85,2026-03-26
F426-10305,11035406,504,2026-03-26,11:06,16:46,5.663,9.763,2026-03-26
F426-10331,11026031,324,2026-03-27,07:00,10:14,3.24,3.24,2026-03-27
F426-10330,11035402,352,2026-03-27,10:29,14:01,3.52,7.01,2026-03-27
F426-10335,11033020,108,2026-03-27,14:16,15:38,1.367,8.627,2026-04-01
F426-10336,11033025,56,2026-03-27,15:53,16:32,0.651,9.528,2026-04-01
F426-10349,11033205,160,2026-03-27,16:47,18:47,2.0,11.778,2026-04-01
F426-10351,11033532,48,2026-03-27,19:02,19:30,0.48,12.508,2026-04-02
